id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1371151403756661674,Temple Bar Gate Trinity!,69683252,Daniel And G,,Dublin City,53.34467,-6.25941,Entire home/apt,373,3,11,2025-09-01,1.73,16,344,11,
1371203972203829123,Elegant and Spacious Room,72931600,Philip,,Dublin City,53.33270056119927,-6.255488120893427,Private room,,1,22,2025-08-18,3.57,3,0,22,
1371222631283245147,Quiet Canal-side 2 Bed House,177833932,Anna,,Dublin City,53.32843,-6.26094,Entire home/apt,187,3,3,2025-08-03,0.50,234,350,3,
1371643733256632675,5 bedroom-20mins to citycentre by car-free parking,86619624,Conor,,Dn Laoghaire-Rathdown,53.28499216320215,-6.217640465064944,Entire home/apt,432,2,10,2025-08-10,2.31,1,8,10,
1371760339163532692,Twin Room close to Temple Bar,682351475,Le,,Dublin City,53.34325,-6.26262,Private room,,1,2,2025-08-17,0.35,3,262,2,
1371767521055214830,Triple Room close to Spire,682547694,Le,,Dublin City,53.34698985138105,-6.262983679025594,Private room,193,1,16,2025-08-25,12.31,3,272,16,
1371769130263092156,Family Room Hotel at City Centre,682547694,Le,,Dublin City,53.348793094773015,-6.261985054195646,Private room,172,1,7,2025-08-22,5.38,3,262,7,
1371832219947823164,"Cozy, warm and welcoming room.",418777583,Marcus,,Dublin City,53.33309,-6.27909,Private room,85,1,36,2025-09-11,6.10,1,79,36,
1371872406300117625,The Castle Room @ The Royal Lodge,30157926,Michael And Eoin,,Dublin City,53.35902,-6.26097,Private room,124,2,16,2025-09-08,3.50,4,331,16,
1371973960559971796,Cedar Loft - Dublin City Stay,587687786,Miceal,,Dublin City,53.358017784795294,-6.253856308758259,Entire home/apt,94,1,16,2025-08-31,2.61,4,350,16,
1371985370217294097,Cozy Stay Near Airport & Town,230859492,Rachid,,Dublin City,53.393198,-6.257085099999999,Entire home/apt,67,1,51,2025-09-15,9.22,1,109,51,
